ext	axis	value	type	site
3	four	0.008259964	functional	chaco
4	four	0.007731196	functional	chaco
5	four	0.007323911	functional	chaco
6	four	0.007376809	functional	chaco
7	four	0.007241143	functional	chaco
8	four	0.005817531	functional	chaco
9	four	0.005255723	functional	chaco
10	four	0.004988005	functional	chaco
11	four	0.004905843	functional	chaco
12	four	0.005023543	functional	chaco
13	four	0.004132718	functional	chaco
14	four	0.003158186	functional	chaco
15	four	0.002300879	functional	chaco
16	four	0.002300879	functional	chaco
17	four	NA	functional	chaco
1	four	0.000431004	phylogenetic	chaco
2	four	0.000434671	phylogenetic	chaco
3	four	0.000446443	phylogenetic	chaco
4	four	0.000463374	phylogenetic	chaco
5	four	0.000495344	phylogenetic	chaco
6	four	0.000519028	phylogenetic	chaco
7	four	0.000515666	phylogenetic	chaco
8	four	0.000452441	phylogenetic	chaco
9	four	0.00046208	phylogenetic	chaco
10	four	0.000488539	phylogenetic	chaco
11	four	0.000504386	phylogenetic	chaco
12	four	0.000565164	phylogenetic	chaco
13	four	0.00059517	phylogenetic	chaco
14	four	0.000551752	phylogenetic	chaco
15	four	0.000622824	phylogenetic	chaco
16	four	0.000622824	phylogenetic	chaco
17	four	NA	phylogenetic	chaco
1	five	0.007079763	interaction	chaco
2	five	0.00657783	interaction	chaco
3	five	0.006248935	interaction	chaco
4	five	0.005894199	interaction	chaco
5	five	0.003818097	interaction	chaco
6	five	0.002487523	interaction	chaco
7	five	0.002439702	interaction	chaco
8	five	0.00122679	interaction	chaco
9	five	0.000881116	interaction	chaco
10	five	0.000328907	interaction	chaco
11	five	0.000123817	interaction	chaco
12	five	0.003843298	interaction	chaco
13	five	0.001982795	interaction	chaco
14	five	0.001986764	interaction	chaco
15	five	0.034852933	interaction	chaco
16	five	0.034852933	interaction	chaco
17	five	NA	interaction	chaco
1	five	0.000731526	functional	chaco
2	five	0.000593581	functional	chaco
3	five	0.000737351	functional	chaco
4	five	0.000655719	functional	chaco
5	five	0.000595216	functional	chaco
6	five	0.000600914	functional	chaco
7	five	0.000550773	functional	chaco
8	five	0.000455493	functional	chaco
9	five	0.000407404	functional	chaco
10	five	0.000378254	functional	chaco
11	five	0.00036927	functional	chaco
12	five	0.000360461	functional	chaco
13	five	0.000163495	functional	chaco
14	five	0.000109936	functional	chaco
15	five	4.25E-05	functional	chaco
16	five	4.25E-05	functional	chaco
17	five	NA	functional	chaco
1	five	2.50E-05	phylogenetic	chaco
2	five	2.58E-05	phylogenetic	chaco
3	five	2.65E-05	phylogenetic	chaco
4	five	2.60E-05	phylogenetic	chaco
5	five	2.65E-05	phylogenetic	chaco
6	five	2.77E-05	phylogenetic	chaco
7	five	2.74E-05	phylogenetic	chaco
8	five	2.35E-05	phylogenetic	chaco
9	five	2.32E-05	phylogenetic	chaco
10	five	2.99E-05	phylogenetic	chaco
11	five	3.10E-05	phylogenetic	chaco
12	five	3.48E-05	phylogenetic	chaco
13	five	3.35E-05	phylogenetic	chaco
14	five	3.56E-05	phylogenetic	chaco
15	five	2.66E-05	phylogenetic	chaco
16	five	2.66E-05	phylogenetic	chaco
17	five	NA	phylogenetic	chaco
1	six	0.0008459	interaction	chaco
2	six	0.000788217	interaction	chaco
3	six	0.000771976	interaction	chaco
4	six	0.000296818	interaction	chaco
5	six	0.000186274	interaction	chaco
6	six	0.000127745	interaction	chaco
7	six	7.86E-05	interaction	chaco
8	six	2.47E-05	interaction	chaco
9	six	0.000881116	interaction	chaco
10	six	0.000328907	interaction	chaco
11	six	0.000123817	interaction	chaco
12	six	0.003843298	interaction	chaco
13	six	0.001982795	interaction	chaco
14	six	0.001986764	interaction	chaco
15	six	0.034852933	interaction	chaco
16	six	0.034852933	interaction	chaco
17	six	NA	interaction	chaco
1	six	4.87E-05	functional	chaco
2	six	4.57E-05	functional	chaco
3	six	4.94E-05	functional	chaco
4	six	4.40E-05	functional	chaco
5	six	3.97E-05	functional	chaco
6	six	4.04E-05	functional	chaco
7	six	3.46E-05	functional	chaco
8	six	2.09E-05	functional	chaco
9	six	9.27E-06	functional	chaco
10	six	8.42E-06	functional	chaco
11	six	8.13E-06	functional	chaco
12	six	7.93E-06	functional	chaco
13	six	3.13E-06	functional	chaco
14	six	1.67E-06	functional	chaco
15	six	4.25E-05	functional	chaco
16	six	4.25E-05	functional	chaco
17	six	NA	functional	chaco
1	six	1.20E-06	phylogenetic	chaco
2	six	1.20E-06	phylogenetic	chaco
3	six	1.23E-06	phylogenetic	chaco
4	six	1.02E-06	phylogenetic	chaco
5	six	1.05E-06	phylogenetic	chaco
6	six	1.10E-06	phylogenetic	chaco
7	six	1.15E-06	phylogenetic	chaco
8	six	1.16E-06	phylogenetic	chaco
9	six	1.19E-06	phylogenetic	chaco
10	six	1.41E-06	phylogenetic	chaco
11	six	1.45E-06	phylogenetic	chaco
12	six	1.63E-06	phylogenetic	chaco
13	six	1.80E-06	phylogenetic	chaco
14	six	1.27E-06	phylogenetic	chaco
15	six	2.66E-05	phylogenetic	chaco
16	six	2.66E-05	phylogenetic	chaco
17	six	NA	phylogenetic	chaco
